dataset,it,size,implementation,ari,ri,jaccard,peakmem
subsample_it_2_size_250000,2,247717,jl32,0.6484563527363798,0.9290969819496487,0.9900497512437811,
subsample_it_2_size_250000,2,247717,py,0.6943695059464826,0.9448043654206479,1.0,
subsample_it_2_size_3000,2,2982,R,1.0,1.0,1.0,
subsample_it_2_size_3000,2,2982,jl,0.8458511193444824,0.9626683279819811,0.9920318725099602,
subsample_it_2_size_3000,2,2982,jl32,0.9454447854636033,0.9864048430131274,0.9920318725099602,
subsample_it_2_size_3000,2,2982,py,0.6280151299285326,0.9002569594014945,1.0,
subsample_it_2_size_50000,2,49537,R,1.0,1.0,1.0,
subsample_it_2_size_50000,2,49537,jl,0.6794217793145139,0.9421451955508525,0.9851116625310173,
subsample_it_2_size_50000,2,49537,jl32,0.9083814647504098,0.9813971807229519,0.9851116625310173,
subsample_it_2_size_50000,2,49537,py,0.8279047282444039,0.9631970054657029,1.0,
subsample_it_2_size_500000,2,495415,R,1.0,1.0,1.0,
subsample_it_2_size_500000,2,495415,jl,0.7402937668725155,0.9539353685957931,0.9890601690701144,
subsample_it_2_size_500000,2,495415,jl32,0.6312825276795887,0.941813602889465,0.9890601690701144,
subsample_it_2_size_500000,2,495415,py,0.6200713020589782,0.933502305814779,1.0,
subsample_it_2_size_6000,2,5940,R,1.0,1.0,1.0,
subsample_it_2_size_6000,2,5940,jl,0.9014255453036675,0.9767065616030088,0.9930244145490782,
subsample_it_2_size_6000,2,5940,jl32,0.888185305139829,0.9734385443932506,0.9930244145490782,
subsample_it_2_size_6000,2,5940,py,0.7403898910668304,0.9319731524143041,1.0,
subsample_it_2_size_75000,2,74314,R,1.0,1.0,1.0,
subsample_it_2_size_75000,2,74314,jl,0.7233791808120712,0.9543287087721393,0.9890601690701144,
subsample_it_2_size_75000,2,74314,jl32,0.7242488995541425,0.9568440346846756,0.9890601690701144,
subsample_it_2_size_75000,2,74314,py,0.6900793101557331,0.944778936475887,1.0,
subsample_it_2_size_750000,2,743141,R,1.0,1.0,1.0,
subsample_it_2_size_750000,2,743141,jl,0.7596504760067493,0.9618347796238871,0.9851116625310173,
subsample_it_2_size_750000,2,743141,jl32,0.6712305056263043,0.9495833105809312,0.9851116625310173,
subsample_it_2_size_750000,2,743141,py,0.5770319391473127,0.9241214034132381,1.0,
subsample_it_3_size_100000,3,99098,R,1.0,1.0,1.0,
subsample_it_3_size_100000,3,99098,jl,0.8439842427233895,0.9754887974460561,0.9841269841269841,
subsample_it_3_size_100000,3,99098,jl32,0.8613290762635123,0.9777175509128241,0.9841269841269841,
subsample_it_3_size_100000,3,99098,py,0.7734886824346806,0.9605333092170113,1.0,
subsample_it_3_size_12000,3,11889,R,1.0,1.0,1.0,
subsample_it_3_size_12000,3,11889,jl,0.7539425400363955,0.9507173918186925,0.9851116625310173,
subsample_it_3_size_12000,3,11889,jl32,0.7648785999809253,0.9498918721819721,0.9851116625310173,
subsample_it_3_size_12000,3,11889,py,0.5814642957892818,0.9047433997767822,1.0,
subsample_it_3_size_125000,3,123845,R,1.0,1.0,1.0,
subsample_it_3_size_125000,3,123845,jl,0.8372566511886483,0.9740484826477965,0.9890601690701144,
subsample_it_3_size_125000,3,123845,jl32,0.8104996073771166,0.9691853382207118,0.9890601690701144,
subsample_it_3_size_125000,3,123845,py,0.5756720831443681,0.9259870995146734,1.0,
subsample_it_3_size_25000,3,24766,R,1.0,1.0,1.0,
subsample_it_3_size_25000,3,24766,jl,0.7054475617734908,0.9382509862268434,0.9890601690701144,
