dataset,size,implementation,dims,k,resolution,tables,time,purity,classpurity,clusters,ari,ri,avgsilh,seed
3k,2700,scanpy,10,30,0.9,20,0.894380778,,,1,,,0.1859266949072133,4
3k,2700,scanpy,10,30,1.0,20,1.083422069,,,9,,,0.17719926583999537,0
3k,2700,scanpy,10,30,1.0,20,1.020234491,,,1,,,0.14534118254309084,1
3k,2700,scanpy,10,30,1.0,20,0.976101129,,,1,,,0.17254845660973903,2
3k,2700,scanpy,10,30,1.0,20,0.922774015,,,1,,,0.18080550680845608,3
3k,2700,scanpy,10,30,1.0,20,0.915235662,,,1,,,0.14730503757871466,4
3k,2700,scanpy,10,30,1.1,20,1.03997941,,,9,,,0.15870779342273578,0
3k,2700,scanpy,10,30,1.1,20,0.944432426,,,1,,,0.1426010393538805,1
3k,2700,scanpy,10,30,1.1,20,0.952370642,,,1,,,0.1465669635520902,2
3k,2700,scanpy,10,30,1.1,20,1.004766995,,,1,,,0.16290116002300933,3
3k,2700,scanpy,10,30,1.1,20,0.941142722,,,1,,,0.1481722049573011,4
3k,2700,scanpy,10,30,1.2,20,1.129251548,,,9,,,0.1582894564993057,0
3k,2700,scanpy,10,30,1.2,20,0.922062275,,,1,,,0.12746767143303647,1
3k,2700,scanpy,10,30,1.2,20,0.966544798,,,1,,,0.1453161671746019,2
3k,2700,scanpy,10,30,1.2,20,0.963852549,,,1,,,0.17857889874844585,3
3k,2700,scanpy,10,30,1.2,20,0.99109401,,,1,,,0.14864325095169056,4
3k,2700,scanpy,20,10,0.05,40,0.914730313,,,3,,,0.254732619362613,0
3k,2700,scanpy,20,10,0.08,40,0.834404697,,,3,,,0.254732619362613,0
3k,2700,scanpy,20,10,0.1,40,0.830573264,,,4,,,0.28346091287981556,0
3k,2700,scanpy,20,10,0.1,40,0.829350096,,,1,,,0.28373332155763636,1
3k,2700,scanpy,20,10,0.1,40,0.788491443,,,1,,,0.28373332155763636,2
3k,2700,scanpy,20,10,0.1,40,0.820611141,,,1,,,0.28346091287981556,3
3k,2700,scanpy,20,10,0.1,40,0.790151215,,,1,,,0.25500484194282,4
3k,2700,scanpy,20,10,0.2,40,0.843940366,,,5,,,0.28365264799398887,0
3k,2700,scanpy,20,10,0.2,40,0.831251253,,,1,,,0.25635455854695455,1
3k,2700,scanpy,20,10,0.2,40,0.756124053,,,1,,,0.2814190946983099,2
3k,2700,scanpy,20,10,0.2,40,0.787899113,,,1,,,0.2788010957604495,3
3k,2700,scanpy,20,10,0.2,40,0.778259417,,,1,,,0.28263468714668827,4
3k,2700,scanpy,20,10,0.3,40,0.862006189,,,6,,,0.2794067422346074,0
3k,2700,scanpy,20,10,0.3,40,0.786171497,,,1,,,0.2820592782750279,1
3k,2700,scanpy,20,10,0.3,40,0.756692706,,,1,,,0.2788485439918368,2
3k,2700,scanpy,20,10,0.3,40,0.790142514,,,1,,,0.27549040777629613,3
3k,2700,scanpy,20,10,0.3,40,0.7773238,,,1,,,0.2818625519162084,4
3k,2700,scanpy,20,10,0.4,40,0.803616693,,,1,,,0.27811028435976204,1
3k,2700,scanpy,20,10,0.4,40,0.776199527,,,1,,,0.2802231265776183,2
3k,2700,scanpy,20,10,0.4,40,0.771143825,,,1,,,0.27549040777629613,3
3k,2700,scanpy,20,10,0.4,40,0.778642436,,,1,,,0.277893182561823,4
3k,2700,scanpy,20,10,0.5,40,0.80194399,,,9,,,0.15681352010730218,0
3k,2700,scanpy,20,10,0.5,40,0.909295276,,,1,,,0.1478206786825369,1
3k,2700,scanpy,20,10,0.5,40,0.812958804,,,1,,,0.15477870696300497,2
3k,2700,scanpy,20,10,0.5,40,0.782934208,,,1,,,0.14923408252563333,3
3k,2700,scanpy,20,10,0.5,40,0.777848701,,,1,,,0.14515464624061172,4
3k,2700,scanpy,20,10,0.6,40,0.839439248,,,1,,,0.16354869680938838,1
3k,2700,scanpy,20,10,0.6,40,0.805670204,,,1,,,0.1635568042159767,2
3k,2700,scanpy,20,10,0.6,40,0.783757246,,,1,,,0.1544696456815933,3
3k,2700,scanpy,20,10,0.6,40,0.759996887,,,1,,,0.14477465418163568,4
3k,2700,scanpy,20,10,0.7,40,0.798977889,,,1,,,0.16475565979425946,1
3k,2700,scanpy,20,10,0.7,40,0.784308957,,,1,,,0.14245690761706734,2
3k,2700,scanpy,20,10,0.7,40,0.812874489,,,1,,,0.1557412949806885,3
3k,2700,scanpy,20,10,0.7,40,0.849780621,,,1,,,0.15721248066749136,4
3k,2700,scanpy,20,10,0.8,40,0.82209174,,,10,,,0.14020808360390413,0
3k,2700,scanpy,20,10,0.8,40,0.880253105,,,1,,,0.14281488035802956,1
3k,2700,scanpy,20,10,0.8,40,0.742667061,,,1,,,0.14175283479825476,2
3k,2700,scanpy,20,10,0.8,40,0.763934996,,,1,,,0.15883375893781873,3
3k,2700,scanpy,20,10,0.8,40,0.836076621,,,1,,,0.1412334542825461,4
